Title,Year,Media Type,Director,Writer,Length,Matting
10 Things I Hate About You,1999,DVD,Gil Junger,Karen McCullah Lutz,97,Widescreen
12 Angry Men,1957,DVD,Sidney Lumet,Reginald Rose,96,Widescreen
2 Fast 2 Furious,2003,DVD,John Singleton,Michael Brandt,107,Fullscreen
2001: A Space Odyssey,1968,DVD,Stanley Kubrick,Arthur C. Clarke,145,Widescreen
2008 NHL Winter Classic,2008,DVD,NBC Sports,N/A,139,Widescreen
3 Ninjas,1992,DVD,Jon Turteltaub,Edward Emanuel,84,Widescreen
7 Television Commercials,1998,DVD,Magnus Carlsson,Thom Yorke,34,Fullscreen
Across the Universe,2007,Blu-Ray,Julie Taymor,Dick Clement,133,Widescreen
Amadeus,1984,Blu-Ray,Milos Forman,Peter Shaffer,180,Widescreen
American Beauty,1999,DVD,Sam Mendes,Alan Ball,122,Widescreen
American History X,1998,DVD,Tony Kaye,David McKenna,119,Widescreen
Apollo 13,1995,DVD,Ron Howard,"William Broyles, Jr.",140,Widescreen
"Aristocrats, The",2005,DVD,Paul Provenza,N/A,89,Fullscreen
Batman Begins,2005,Blu-Ray,Christopher Nolan,Christopher Nolan,140,Widescreen
Batman the Movie,1966,DVD,Leslie H. Martinson,"Lorenzo Semple, Jr.",105,Widescreen
Be Kind Rewind,2008,Blu-Ray,Michel Gondry,Michel Gondry,102,Widescreen
Big Daddy,1999,DVD,Dennis Dugan,Steve Franks,93,Widescreen
Big Fish,2003,DVD,Tim Burton,John August,125,Widescreen
"Big Lebowski, The",1998,DVD,Joel Coen,Ethan Coen,118,Widescreen
Billy Madison,1995,DVD,Tamra Davis,Tim Herlihy,89,Widescreen
"Birdcage, The",1996,DVD,Mike Nichols,Elaine May,119,Both
Black Hawk Down,2001,DVD,Ridley Scott,Ken Nolan,144,Widescreen
"Blair Witch Project, The",1999,DVD,Daniel Myrick,Eduardo Sanchez,86,Fullscreen
Blazing Saddles,1974,Blu-Ray,Mel Brooks,Mel Brooks,93,Widescreen
Blood Diamond,2006,Blu-Ray,Edward Zwick,Charles Leavitt,143,Widescreen
Blue Man Group Audio,1999,DVD,Blue Man Group,Blue Man Group,64,Fullscreen
Borat,2006,DVD,Larry Charles,Sacha Baron Cohen,84,Widescreen
"Bourne Identity, The",2002,Blu-Ray,Doug Liman,Tony Gilroy,119,Widescreen
"Bourne Supremacy, The",2004,Blu-Ray,Paul Greengrass,Tony Gilroy,109,Widescreen
"Bourne Ultimatum, The",2007,Blu-Ray,Paul Greengrass,Tony Gilroy,116,Widescreen
Bowling for Columbine,2002,DVD,Michael Moore,Michael Moore,120,Widescreen
Brazil,1985,DVD,Terry Gilliam,Terry Gilliam,142,Widescreen
"Bret ""Hitman"" Hart",2005,DVD,Kevin Dunn,N/A,540,Fullscreen
Casablanca,1943,DVD,Michael Curtiz,Julius J. Epstein,103,Fullscreen
Casino Royale,2006,Blu-Ray,Martin Campbell,Neal Purvis,144,Widescreen
Chasing Amy,1997,DVD,Kevin Smith,Kevin Smith,111,Widescreen
Chicago,2002,DVD,Rob Marshall,Bill Condon,113,Widescreen
Children of Men,2006,Blu-Ray,Alfonso Cuar?n,Alfonso Cuar?n,110,Widescreen
"Christmas Story, A",1983,Blu-Ray,Bob Clark,Jean Shepherd,94,Widescreen
Citizen Kane,1941,DVD,Orson Welles,Herman J. Mankiewicz,119,Fullscreen
"Civil Action, A",1998,DVD,Steven Zaillian,Steven Zaillian,112,Widescreen
Clerks,1994,DVD,Kevin Smith,Kevin Smith,92,Widescreen
Clifford,1994,DVD,Paul Flaherty,Jay Dee Rock,90,Fullscreen
Climb Dance,1989,DVD,Jean Louis Maurey,N/A,5,Fullscreen
"Clockwork Orange, A",1971,DVD,Stanley Kubrick,Stanley Kubrick,137,Widescreen
Closer,2004,DVD,Mike Nichols,Patrick Marber,104,Widescreen
Colin McRae - Rally Legend,2007,DVD,Derick Allsop,N/A,89,Widescreen
Crash,2005,DVD,Paul Haggis,Paul Haggis,115,Widescreen
Daria - Volume 1,1997,DVD,Karen Disher,Glenn Eichler,748,Fullscreen
Daria - Volume 2,1997,DVD,Karen Disher,Glenn Eichler,604,Fullscreen
"Dark Knight, The",2008,Blu-Ray,Christopher Nolan,Jonathan Nolan,153,Widescreen
Days of Thunder,1990,DVD,Tony Scott,Robert Towne,107,Widescreen
Dead Poets Society,1989,DVD,Peter Weir,Tom Schulman,129,Widescreen
Deja Vu,2006,Blu-Ray,Tony Scott,Bill Marsilii,130,Widescreen
Demetri Martin. Person.,2007,DVD,Jay Karas,Demetri Martin,42,Fullscreen
"Departed, The",2006,DVD,Martin Scorsese,William Monahan,151,Widescreen
Devil's Advocate,1997,DVD,Taylor Hackford,Jonathan Lemkin,144,Widescreen
Dogma,1999,DVD,Kevin Smith,Kevin Smith,130,Both
Donnie Darko,2001,DVD,Richard Kelly,Richard Kelly,133,Widescreen
Doubt,2008,Blu-Ray,John Patrick Shanley,John Patrick Shanley,103,Widescreen
Dr. Horrible's Sing-Along Blog,2009,DVD,Joss Whedon,Maurissa Tancharoen,42,Widescreen
Dr. Strangelove,1964,DVD,Stanley Kubrick,Peter George,90,Fullscreen
Drop Dead Fred,1991,DVD,Ate de Jong,Carlos Davis,103,Fullscreen
Edward Scissorhands,1990,Blu-Ray,Tim Burton,Caroline Thompson,105,Widescreen
Eight Crazy Nights,2002,DVD,Seth Kearsley,Brooks Arthur,76,Both
Enemy at the Gates,2001,DVD,Jean-Jacques Annaud,Alain Godard,131,Widescreen
Envy,2004,DVD,Barry Levinson,Steve Adams,99,Both
ESPN SportsCentury: Wayne Gretzky,2000,DVD,ESPN,Mike Strom,48,Fullscreen
Eternal Sunshine of the Spotless Mind,2004,DVD,Michel Gondry,Charlie Kaufman,108,Widescreen
Falling Down,1993,DVD,Joel Schumacher,Ebbe Roe Smith,113,Both
Fargo,1996,DVD,Joel Coen,Ethan Coen,98,Widescreen
Fast & Furious,2009,Blu-Ray,Justin Lin,Chris Morgan,107,Widescreen
"Fast and the Furious , The",2001,DVD,Rob Cohen,Gary Scott Thompson,106,Widescreen
Fear and Loathing in Las Vegas,1998,DVD,Terry Gilliam,Terry Gilliam,118,Widescreen
Ferris Bueller's Day Off,1986,DVD,John Hughes,John Hughes,102,Widescreen
"Few Good Men , A",1992,DVD,Rob Reiner,Aaron Sorkin,138,Widescreen
Fight Club,1999,DVD,David Fincher,Jim Uhls,139,Widescreen
Finding Forrester,2000,DVD,Gus Van Sant,Mike Rich,136,Widescreen
Finding Neverland,2004,DVD,Marc Forster,David Magee,106,Widescreen
Forrest Gump,1994,DVD,Robert Zemeckis,Eric Roth,142,Widescreen
Four Rooms,1995,DVD,Quentin Tarantino,Allison Anders,98,Widescreen
Freaks and Geeks - Volume 1,1999,DVD,Jake Kasdan,Paul Feig,360,Fullscreen
Freaks and Geeks - Volume 2,1999,DVD,Jake Kasdan,Paul Feig,360,Fullscreen
Freaks and Geeks - Volume 3,1999,DVD,Jake Kasdan,Paul Feig,360,Fullscreen
Full Metal Jacket,1987,Blu-Ray,Stanley Kubrick,Gustav Hasford,116,Widescreen
Gandhi,1982,Blu-Ray,Richard Attenborough,John Briley,188,Widescreen
