Rank,Player (2011 TBs),TBs
1,Hank Aaron,"6,856"
2,Stan Musial,"6,134"
3,Willie Mays,"6,066"
4,Barry Bonds,"5,976"
5,Ty Cobb,"5,854"
6,Babe Ruth,"5,793"
7,Pete Rose,"5,752"
8,Carl Yastrzemski,"5,539"
9,Eddie Murray,"5,397"
10,Rafael Palmeiro,"5,388"
11,Frank Robinson,"5,373"
12,Ken Griffey Jr.,"5,271"
13,Dave Winfield,"5,221"
14,Alex Rodriguez (172),"5,215"
15,Cal Ripken Jr.,"5,168"
16,Tris Speaker,"5,101"
17,Lou Gehrig,"5,060"
18,George Brett,"5,044"
19,Mel Ott,"5,041"
20,Jimmie Foxx,"4,956"
21,Ted Williams,"4,884"
22,Honus Wagner,"4,862"
23,Paul Molitor,"4,854"
24,Al Kaline,"4,852"
25,Reggie Jackson,"4,834"
26,Manny Ram?rez,"4,826"
27,Andre Dawson,"4,787"
