Name,Date,Previous Names,Capital,Government,Languages
Afghanistan,1747,,Kabul,No effective government,Farsi Pashto Uzbek
Bahrain,1971,,Manama,Absolute Monarchy,Arabic
Bangladesh,1971,East Pakistan,Dhaka,Republic,Bengali Urdu
Bhutan,,,Thimphu,Theocratic Monarchy,Jonkha
British Indian Ocean Territory,,,Diego Garcia,Colony (UK),
Brunei,c650,,Bandar Seri Begawan,Absolute Monarchy,Malay
Burma (Myanmar),1948,,Rangoon,Military Dictatorship,Burmese Karen Shan
Cambodia,c800,Kampuchea,Phnom Penh,Republic,Khmer French Vietnamese
China,c1500BC,Carthay,Beijing,One Party State,Mandarin Cantonese Fukien Wu Tibetan Uigur
East Timor,2002,,Dili,Republic,Portuguese
India,c2500BC 1948,Moghul Empire,New Delhi,Federal Republic,Hindi Urdu Punjabi Kashmiri Gujarati Bengali Assamese Oriya Marathi Kannada Telugu Tamil Malayalam English many others
Indonesia,c400,East Indes,Jakarta,Republic,Indonesian Javanese Sundanese Madurese Minagkabau Achinese Batak Buginese many others
Iran,c6000BC,Persia,Tehran,Theocratic Republic,Farsi Baluchi Kurdish Azeri Armenian
Iraq,1922,Mesopotamia Babylonia Assyria,Baghdad,No effective government,Arabic Kurdish
Israel,c800BC 1948,Palestine Ottoman Empire Judea,Tel Aviv,Republic,Hebrew Arabic English Russian
Japan,c600BC,,Tokyo,Constitutional Monarchy,Japanese Ainu
Jordan,1922,Transjordan Ottoman Empire Moab,Amman,Monarchy,Arabic
Kazakhstan,1991,,Astana,One Party State,Kazakh
Kuwait,1922,Ottoman Empire Arabia,Kuwait City,Absolute Monarchy,Arabic
Kyrgyzstan,1991,,Bishtek,One Party State,Kirgiz Uzbek
Laos,1353,,Vientiane,One Party State,Lao
Lebanon,1920,Ottoman Empire Phoenicia,Beirut,One Party State,Arabic French Armenian
Malaysia,1957,Malaya,Kuala Lumpur,Federal Monarchy,Malay
Maldives,1965,,Male,,Maldivian
Mongolia,1203,,Ulaan Baatar,Republic,Mongolian Kazakh
Nepal,c1770,Gorkha Kingdom,Kathmandu,Monarchy,Nepalese Bihari Newari Tibetan Murmi
North Korea,c2330BC 1945,Korea,Pyongyang,One Party State,Korean
Oman,1970,Muscat and Oman Arabia,Muscat,Absolute Monarchy,Arabic
Pakistan,1948,West Pakistan,Islamabad,Republic,Urdu Kashmiri Pashto Baluchi Sindhi
Papua New Guinea,1949,,Port Moresby,Republic,Pidgin English many others
Philippines,1521,,Manila,Republic,Tagalog English Cebuano Hiligaynon Samaran Ilocano many others
Qatar,1971,Arabia,Doha,Monarchy,Arabic
Saudi Arabia,c1750,Ottoman Empire Hejaz Arabia,Riyadh,Theocratic Monarchy,Arabic
South Korea,c2300BC 1945,Korea,Seoul,Republic,Korean
Singapore,1965,Malaya,Singapore,Republic,Mandarin Malay Tamil English
Sri Lanka,1948,Ceylon,Colombo,Republic,Sinhalese Tamil
Syria,c2500BC 1920,United Arab Republic,Damascus,One Party State,Arabic Kurdish Armenian
Taiwan,1945,Formosa,Taipei,,Mandarin
Tajikistan,1991,,Dushanbe,One Party State,Tadzhik Kyrgyz
Thailand,c1200,Siam,Bangkok,Monarchy,Thai Mandarin Malay Khmer
Turkmenistan,1991,,Ashgabat,One Party State,Turkmen
United Arab Emirates,1971,Trucial States,Abu Dhabi,Federal Monarchy,Arabic
Uzbekistan,c1300 1991,,Tashkent,One Party State,Uzbek Tajik
Vietnam,1945 1975,North Vietnam South Vietnam,Hanoi,One Party State,Vietnamese
Yemen,1918,Aden North Yemen South Yemen,Sanaa,One Party State,Arabic
