Publication,Number of transactions,Number of journalists / clients positively identified using services
Daily Mail,952,58
Sunday People,802,50
Daily Mirror,681,45
Mail on Sunday,266,33
News of the World,182,19
Sunday Mirror,143,25
Best Magazine,134,20
Evening Standard,130,1
The Observer,103,4
Daily Sport,62,4
Sunday Times,52,7
The People,37,19
Daily Express,36,7
Weekend Magazine (Daily Mail),30,4
Sunday Express,29,8
The Sun,24,4
Closer Magazine,22,5
Sunday Sport,15,1
Night and Day (Mail on Sunday),9,2
Sunday Business News,8,1
Daily Record,7,2
Saturday (Express),7,1
Sunday Mirror Magazine,6,1
Real Magazine,4,1
Woman?s Own,4,2
Daily Mirror Magazine,3,2
Mail in Ireland,3,1
Daily Star,2,4
Marie Claire,2,1
Personal Magazine,1,1
Sunday World,1,1
