Country,Land area,GDP nominal (US$M),Per capita GDP (US$),Population,Government,Conscription
Albania,"27,398","$9,306","$2,584.63","3,600,523",emerging democracy,Yes
Algeria,"2,381,740","$90,000","$2,700.01","33,333,216",republic,Yes
Angola,"1,246,700","$28,610","$2,332.92","12,263,596",republic; multiparty presidential regime,Yes
Argentina,"2,736,690","$210,000","$5,210.67","40,301,927",republic,"Legal, not practiced"
Australia,"7,617,930","$644,700","$31,550.09","20,434,176",federal parliamentary democracy,No (banned as enshrined by parliament in 1972
Austria,"82,444","$310,100","$37,818.07","8,233,300",federal republic,Yes
Bahamas,"10,070","$6,159","$20,150.17","305,655",constitutional parliamentary democracy,No
Bangladesh,"133,910","$69,340",$460.89,"150,448,339",parliamentary democracy,No
Belgium,"30,528","$316,200","$31,400","10,584,534",democracy,No (abolished in 1994)
Belize,"22,806","$1,141","$3,875.88","294,385",parliamentary democracy,"Legal, not practiced"
Bhutan,"47,000",$840.5,$361.06,"2,327,849",(possibly outdated) absolute monarchy; special treaty relationship with India; note - transition to a constitutional monarchy is expected in 2008 constitutional monarchy; special treaty relationship with India,Yes (selective)
Bolivia,"1,084,390","$10,330","$1,132.78","9,119,152",republic,Yes (only when there are few volunteers)
Bosnia and Herzegovina,"51,129","$9,217","$2,024.74","4,552,198",emerging federal democratic republic,No
Brazil,"8,456,510","$967,000","$5,089.19","190,010,647",federal republic,Yes
Burma,"657,740","$9,600",$202.64,"47,373,958",military junta,"Officially prohibited, de facto still practiced"
China,"9,326,410","$2,518,000","$1,904.90","1,321,851,888",socialist republic,Yes (selective)
Croatia,"56,414","$37,420","$7,863.44","4,443,350",presidential/parliamentary democracy,No (abolished by law in 2008)
Cuba,"110,860","$40,000","$3,510.61","11,394,043",socialist republic,Yes (both sexes)
Djibouti,"22,980",$702,"$1,414.26","496,374",republic,No
El Salvador,"20,720","$15,160","$2,181.90","6,948,073",republic,"Legal, not practiced"
Finland,"304,473","$199,000,","$35,111.80","5,246,100",republic,Yes
France,"640,053","$2,149,000","$33,758.81","60,873,000",republic,No (conscription suspended since 2001)
Gambia,"10,000",$462.5,$273.94,"1,688,359",republic,No
