Rank,Country,Population,Date of Information
1,World,"6,446,131,400",July 2005 est.
2,China,"1,306,313,812",July 2005 est.
3,India,"1,080,264,388",July 2005 est.
4,European Union,"456,953,258",July 2005 est.
5,United States,"295,734,134",July 2005 est.
6,Indonesia,"241,973,879",July 2005 est.
7,Brazil,"186,112,794",July 2005 est.
8,Pakistan,"162,419,946",July 2005 est.
9,Bangladesh,"144,319,628",July 2005 est.
10,Russia,"143,420,309",July 2005 est.
11,Nigeria,"128,765,768",July 2005 est.
12,Japan,"127,417,244",July 2005 est.
13,Mexico,"106,202,903",July 2005 est.
14,Philippines,"87,857,473",July 2005 est.
15,Vietnam,"83,535,576",July 2005 est.
16,Germany,"82,431,390",July 2005 est.
17,Egypt,"77,505,756",July 2005 est.
18,Ethiopia,"73,053,286",July 2005 est.
19,Turkey,"69,660,559",July 2005 est.
20,Iran,"68,017,860",July 2005 est.
21,Thailand,"64,185,502",July 2005 est.
22,"Congo, Democratic Republic of the","60,764,490",July 2005 est.
23,France,"60,656,178",July 2005 est.
24,United Kingdom,"60,441,457",July 2005 est.
25,Italy,"58,103,033",July 2005 est.
26,"Korea, South","48,640,671",July 2005 est.
27,Ukraine,"46,996,765",July 2005 est.
28,Burma,"46,996,558",July 2005 est.
29,South Africa,"44,344,136",July 2005 est.
30,Colombia,"42,954,279",July 2005 est.
31,Spain,"40,341,462",July 2005 est.
32,Sudan,"40,187,486",July 2005 est.
33,Argentina,"39,537,943",July 2005 est.
34,Poland,"38,557,984",July 2005 est.
35,Tanzania,"36,766,356",July 2005 est.
36,Kenya,"33,829,590",July 2005 est.
37,Canada,"32,805,041",July 2005 est.
38,Morocco,"32,725,847",July 2005 est.
39,Algeria,"32,531,853",July 2005 est.
40,Afghanistan,"29,928,987",July 2005 est.
41,Peru,"27,925,628",July 2005 est.
42,Nepal,"27,676,547",July 2005 est.
43,Uganda,"27,269,482",July 2005 est.
44,Uzbekistan,"26,851,195",July 2005 est.
45,Saudi Arabia,"26,417,599",July 2005 est.
46,Iraq,"26,074,906",July 2005 est.
47,Venezuela,"25,375,281",July 2005 est.
48,Malaysia,"23,953,136",July 2005 est.
49,"Korea, North","22,912,177",July 2005 est.
50,Taiwan,"22,894,384",July 2005 est.
51,Romania,"22,329,977",July 2005 est.
52,Ghana,"21,946,247",July 2005 est.
53,Yemen,"20,727,063",July 2005 est.
54,Australia,"20,090,437",July 2005 est.
55,Sri Lanka,"20,064,776",July 2005 est.
56,Mozambique,"19,406,703",July 2005 est.
57,Syria,"18,448,752",July 2005 est.
58,Madagascar,"18,040,341",July 2005 est.
59,Cote d'Ivoire,"17,298,040",July 2005 est.
60,Cameroon,"16,988,132",July 2005 est.
61,Netherlands,"16,407,491",July 2005 est.
62,Chile,"15,980,912",July 2005 est.
63,Kazakhstan,"15,185,844",July 2005 est.
64,Cambodia,"13,636,398",July 2005 est.
65,Burkina Faso,"13,491,736",July 2005 est.
66,Ecuador,"13,363,593",July 2005 est.
67,Malawi,"12,707,464",July 2005 est.
68,Niger,"12,162,856",July 2005 est.
69,Zimbabwe,"12,160,782",July 2005 est.
70,Guatemala,"12,013,907",July 2005 est.
71,Angola,"11,827,315",July 2005 est.
72,Senegal,"11,706,498",July 2005 est.
73,Mali,"11,415,261",July 2005 est.
74,Cuba,"11,346,670",July 2005 est.
75,Zambia,"11,261,795",July 2005 est.
76,Serbia and Montenegro,"10,829,175",July 2005 est.
77,Greece,"10,668,354",July 2005 est.
78,Portugal,"10,566,212",July 2005 est.
79,Belgium,"10,364,388",July 2005 est.
80,Belarus,"10,300,483",July 2005 est.
81,Czech Republic,"10,241,138",July 2005 est.
82,Tunisia,"10,074,951",July 2005 est.
83,Hungary,"10,006,835",July 2005 est.
84,Chad,"9,657,069",July 2005 est.
85,Guinea,"9,452,670",July 2005 est.
