Rank,Title,Year,Director(s),Overall Rank
1,The Godfather,1972,Francis Ford Coppola,1
2,Citizen Kane,1941,Orson Welles,2
3,Casablanca,1942,Michael Curtiz,3
4,Lawrence of Arabia,1962,David Lean,9
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,12
6,Apocalypse Now,1979,Francis Ford Coppola,13
7,The Godfather: Part II,1974,Francis Ford Coppola,14
8,Pulp Fiction,1994,Quentin Tarantino,15
9,It's a Wonderful Life,1946,Frank Capra,16
10,Gone with the Wind,1939,Victor Fleming,17
11,Raging Bull,1980,Martin Scorsese,18
12,Taxi Driver,1976,Martin Scorsese,19
13,Chinatown,1974,Roman Polanski,20
14,Blade Runner,1982,Ridley Scott,21
15,Schindler's List,1993,Steven Spielberg,22
16,E.T. the Extra-Terrestrial,1982,Steven Spielberg,23
17,Annie Hall,1977,Woody Allen,25
18,Goodfellas,1990,Martin Scorsese,26
19,The Searchers,1956,John Ford,28
20,North by Northwest,1959,Alfred Hitchcock,31
21,The Seven Samurai,1954,Akira Kurosawa,32
22,Sunset Blvd.,1950,Billy Wilder,33
23,One Flew over the Cuckoo's Nest,1975,Milos Forman,35
24,A Clockwork Orange,1971,Stanley Kubrick,36
25,All about Eve,1950,Joseph L. Mankiewicz,37
26,The Graduate,1967,Mike Nichols,39
27,On the Waterfront,1954,Elia Kazan,40
28,The Shawshank Redemption,1994,Frank Darabont,46
29,Bonnie and Clyde,1967,Arthur Penn,48
30,Fargo,1996,Joel Coen,49
31,Saving Private Ryan,1998,Steven Spielberg,50
32,The Bridge on the River Kwai,1957,David Lean,57
33,High Noon,1952,Fred Zinnemann,58
34,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,60
35,The Night of the Hunter,1955,Charles Laughton,61
36,To Kill a Mockingbird,1962,Robert Mulligan,62
37,Titanic,1997,James Cameron,63
38,The Bicycle Thief,1948,Vittorio De Sica,67
39,City Lights,1931,Charles Chaplin,68
40,The Rules of the Game,1939,Jean Renoir,70
41,The 400 Blows,1959,Fran?ois Truffaut,71
42,His Girl Friday,1940,Howard Hawks,72
43,Unforgiven,1992,Clint Eastwood,73
44,The Battleship Potemkin,1925,Sergei M. Eisenstein,74
45,Brazil,1985,Terry Gilliam,77
46,The Sound of Music,1965,Robert Wise,79
47,8 1/2,1963,Federico Fellini,80
48,Breathless,1960,Jean-Luc Godard,81
49,L.A. Confidential,1997,Curtis Hanson,82
50,Fight Club,1999,David Fincher,83
51,Rash?mon,1950,Akira Kurosawa,84
52,The Deer Hunter,1978,Michael Cimino,85
53,Nashville,1975,Robert Altman,86
54,The Shining,1980,Stanley Kubrick,87
55,West Side Story,1961,Jerome Robbins and Robert Wise,88
56,The Grand Illusion,1937,Jean Renoir,90
57,The Treasure of the Sierra Madre,1948,John Huston,92
58,Forrest Gump,1994,Robert Zemeckis,93
59,The Lord of the Rings: The Return of the King,2003,Peter Jackson,96
60,Sunrise,1927,F.W. Murnau,99
61,Do the Right Thing,1989,Spike Lee,100
62,Rocky,1976,John G. Avildsen,101
63,The Grapes of Wrath,1940,John Ford,102
64,Close Encounters of the Third Kind,1977,Steven Spielberg,103
65,Modern Times,1936,Charles Chaplin,108
66,Tokyo Story,1953,Yasujiro Ozu,110
67,American Beauty,1999,Sam Mendes,111
68,Seven,1995,David Fincher,112
69,Gladiator,2000,Ridley Scott,113
70,Rebel without a Cause,1955,Nicholas Ray,115
71,Braveheart,1995,Mel Gibson,116
72,Trainspotting,1996,Danny Boyle,117
73,The Seventh Seal,1957,Ingmar Bergman,119
74,The African Queen,1951,John Huston,120
75,Platoon,1986,Oliver Stone,122
76,The Lord of the Rings: The Two Towers,2002,Peter Jackson,123
77,The Manchurian Candidate,1962,John Frankenheimer,124
78,Sullivan's Travels,1941,Preston Sturges,125
79,The Best Years of Our Lives,1946,William Wyler,126
80,The Apartment,1960,Billy Wilder,127
81,M*A*S*H,1970,Robert Altman,128
82,Children of Paradise,1945,Marcel Carn?,129
83,Groundhog Day,1993,Harold Ramis,130
84,La Dolce Vita,1960,Federico Fellini,134
85,Manhattan,1979,Woody Allen,135
86,Memento,2000,Christopher Nolan,136
87,Frankenstein,1931,James Whale,137
88,Ben-Hur,1959,William Wyler,140
89,Amadeus,1984,Milos Forman,141
90,Midnight Cowboy,1969,John Schlesinger,142
91,Cabaret,1972,Bob Fosse,144
92,A Streetcar Named Desire,1951,Elia Kazan,145
93,All Quiet on the Western Front,1930,Lewis Milestone,146
94,Brief Encounter,1945,David Lean,148
95,Heat,1995,Michael Mann,150
96,Paths of Glory,1957,Stanley Kubrick,152
97,12 Angry Men,1957,Sidney Lumet,154
98,The Conversation,1974,Francis Ford Coppola,155
99,Mr. Smith Goes to Washington,1939,Frank Capra,156
100,Persona,1966,Ingmar Bergman,158
