Sequence,Date,New?,Title,Country,Director,Year,Grade,Theater,Shorts,Additional Info,Ignore This,12,13
,,66.66%,,class=xl36 style='mso-ignore:colspan'>,class=xl36 style='mso-ignore:colspan'>,1992.82,2.78,35,0,,,,
1,1-Jan-02,1,Big Momma's House,USA,Gosnell,2000,,,,,X,A+,4.3
2,1-Jan-02,,Pi,USA,Aronofsky,1998,A,,,,4,A,4
3,3-Jan-02,,Fight Club,USA,Fincher,1999,A-,,,,3.7,A-,3.7
4,5-Jan-02,2,Keeping The Faith,USA,Norton?,2000,,,,,X,B+,3.3
5,7-Jan-02,3,Royal Tenenbaums,USA,Anderson,2001,B,,,,3,B,3
6,8-Jan-02,,Matrix,USA,Wachowski,1999,A,,,,4,B-,2.7
7,14-Jan-02,4,Berkeley In The Sixties,USA,Kitchell,1990,,,,,X,C+,2.3
8,15-Jan-02,5,State And Main,USA,Mamet,2000,,,,,X,C,2
9,18-Jan-02,,There's Something About Mary,USA,Farrelly,1998,A+,,,,4.3,C-,1.7
10,19-Jan-02,6,Down To Earth,USA,Weitz,2001,C+,,,,2.3,D+,1.3
11,24-Jan-02,7,Proof Of Life,USA,Hackford,2000,D,,,,1,D,1
12,24-Jan-02,8,Unbreakable,USA,Shyamalan,2000,B+,,,,3.3,D-,0.7
13,29-Jan-02,,Family Man,USA,Ratner,2000,C+,,,,2.3,F+,0.3
14,29-Jan-02,9,Count Of Monte Cristo,USA,Reynolds,2002,B-,,,,2.7,F,0
15,29-Jan-02,10,Orange County,USA,Kasdan,2002,B-,1,,2.7,F-,-0.3,
16,29-Jan-02,11,Pay It Forward,USA,Leder,2000,C-,,,,1.7,0,X
17,30-Jan-02,,Rushmore,USA,Anderson,1998,A,,,,4,,
18,1-Feb-02,12,Black Hawk Down,USA,Scott,2001,B-,1,,2.7,,,
19,4-Feb-02,13,Lord Of The Rings: The Fellowship Of The Ring,New Zealand,Jackson,2001,B+,1,,3.3,,,
20,5-Feb-02,,Taxi Driver,USA,Scorsese,1976,A+,,,,4.3,,
21,6-Feb-02,14,Deuce Bigelow Male Jigilo,USA,Mitchell,1999,C-,,,,1.7,,
22,8-Feb-02,15,My First Mister,USA,Lahti,2001,B,,,,3,,
23,9-Feb-02,,Karate Kid,USA,Avildsen,1984,A-,,,,3.7,,
24,18-Feb-02,16,Faculty,USA,Rodriguez,1998,D-,,,,0.7,,
25,19-Feb-02,17,French Exit,USA,Kastner,1995,C-,,,,1.7,,
26,19-Feb-02,18,Super Troopers,USA,Chandrasekhar,2001,A,1,,4,,,
27,22-Feb-02,,What's The Worst That Could Happen?,USA,Weisman,2001,B,,,,3,,
28,24-Feb-02,,Austin Powers: International Man Of Mystery,USA,Roach,1997,A,,,,4,,
29,25-Feb-02,,Das Boot,Germany,Peterson,1981,A,,,,4,,
30,26-Feb-02,,Super Troopers,USA,Chandrasekhar,2001,A,,,,4,,
31,1-Mar-02,,Great Escape,USA,Sturges,1963,A,,,,4,,
32,5-Mar-02,,American Movie: The Making Of Northwestern,USA,Smith,1999,A+,,,,4.3,,
33,11-Mar-02,19,"Dude, Where's My Car?",USA,Leiner,2000,F,,,,0,,
34,11-Mar-02,,Heat,USA,Mann,1995,A-,,,,3.7,,
35,11-Mar-02,,Dark Days,USA,Singer,2000,A,,,,4,,
36,12-Mar-02,20,Time Machine,USA,Wells,2002,C-,1,,1.7,,,
37,14-Mar-02,21,Last Of The Mohicans,USA,Mann,1992,D,,,,1,,
38,15-Mar-02,,American Beauty,USA,Mendes,1999,A,,,,4,,
39,16-Mar-02,22,M*A*S*H,USA,Altman,1970,C+,,,,2.3,,
40,18-Mar-02,,Jay And Silent Bob Strike Back,USA,Smith,2001,B,,,,3,,
41,18-Mar-02,23,Hurricane,USA,Jewison,1999,B-,,,,2.7,,
42,19-Mar-02,,Rat Race,USA,Zucker,2001,C+,,,,2.3,,
43,20-Mar-02,24,Session 9,USA,Anderson,2001,B,,,,3,,
44,22-Mar-02,,Easy Rider,USA,Hopper,1969,A-,,,,3.7,,
45,23-Mar-02,25,35up,UK,Apted,1991,B,,,,3,,
46,24-Mar-02,26,Amadeus,USA,Forman,1984,B+,,,,3.3,,
47,26-Mar-02,27,Sorority Boys,USA,Wolodarsky,2002,C-,1,,1.7,,,
48,27-Mar-02,28,Bring It On,USA,Reed,2000,D+,,,,1.3,,
49,27-Mar-02,29,Mexican,USA,Verbinski,2001,C-,,,,1.7,,
50,28-Mar-02,30,Smoke Signals,USA,Eyre,1998,B-,,,,2.7,,
51,28-Mar-02,31,Closet,France,Verber,2001,B-,,Le Placard,2.7,,,
52,29-Mar-02,32,All The Right Moves,USA,Chapman,1983,D+,,,,1.3,,
53,31-Mar-02,33,Say It Isn't So,USA,Rogers,2001,C-,,,,1.7,,
54,1-Apr-02,,Rosemary's Baby,USA,Polanski,1968,C,,,,2,,
55,1-Apr-02,34,Out Cold,USA,Malloy,2001,F+,,,,0.3,,
56,1-Apr-02,35,Death To Smoochy,USA,DeVito,2002,C,1,,2,,,
57,1-Apr-02,36,Audition,Japan,Miike,1999,B+,,,,3.3,,
58,2-Apr-02,37,Texas Rangers,USA,Miner,2001,F,,,,0,,
59,2-Apr-02,,Insider,USA,Mann,1999,B+,,,,3.3,,
60,3-Apr-02,38,Panic Room,USA,Fincher,2002,B+,1,,3.3,,,
61,5-Apr-02,39,Blade II,USA,Del Toro,2002,C,1,,2,,,
62,6-Apr-02,40,Barry Lyndon,UK,Kubrick,1975,B,,,,3,,
63,9-Apr-02,41,Monsters Inc.,USA,Silverman,2001,C-,,,,1.7,,
64,9-Apr-02,42,Haiku Tunnel,USA,Kornbluth,2001,C+,,,,2.3,,
65,10-Apr-02,,Se7en,USA,Fincher,1995,A+,,,,4.3,,
66,12-Apr-02,43,Big Trouble,USA,Sonnenfeld,2002,C+,,,,2.3,,
67,14-Apr-02,44,Mean Machine,UK,Skolnik,2001,C-,,,,1.7,,
68,15-Apr-02,45,Thin Blue Line,USA,Morris,1988,B,,,,3,,
69,16-Apr-02,46,Frailty,USA,Paxton,2001,C,1,,2,,,
70,17-Apr-02,47,Joe Dirt,USA,Gordon,2001,C,,,,2,,
71,17-Apr-02,48,Cast Away,USA,Zemeckis,2000,C+,,,,2.3,,
