,Country Name:,Population,Area (Sq. Km.),Population Density (Sq. Km.),Area (Sq. Mi.),Population Density (Sq. Mi.)
36,China,"1,339,190,000","9,596,960.00",139.54,"3,705,405.45",361.42
77,India,"1,184,639,000","3,287,590.00",360.34,"1,269,345.07",933.27
183,United States of America,"309,975,000","9,629,091.00",32.19,"3,717,811.29",83.38
78,Indonesia,"234,181,400","1,919,440.00",122.01,"741,099.62",315.99
24,Brazil,"193,364,000","8,511,965.00",22.72,"3,286,486.71",58.84
131,Pakistan,"170,260,000","803,940.00",211.78,"310,402.84",548.51
14,Bangladesh,"164,425,000","144,000.00","1,141.84","55,598.69","2,957.35"
128,Nigeria,"158,259,000","923,768.00",171.32,"356,668.67",443.71
142,Russia,"141,927,297","17,075,200.00",8.31,"6,592,768.87",21.53
85,Japan,"127,380,000","377,835.00",337.13,"145,882.85",873.17
113,Mexico,"108,396,211","1,972,550.00",54.95,"761,605.50",142.33
137,Phillipines,"94,013,200","300,000.00",313.38,"115,830.60",811.64
189,Vietnam,"85,789,573","329,560.00",260.32,"127,243.78",674.21
65,Germany,"81,757,600","357,021.00",229.00,"137,846.52",593.11
58,Ethopia,"79,221,000","1,127,127.00",70.29,"435,185.99",182.04
53,Egypt,"78,848,000","1,001,450.00",78.73,"386,661.85",203.92
79,Iran,"75,078,000","1,648,000.00",45.56,"636,296.10",117.99
176,Turkey,"72,561,312","780,580.00",92.96,"301,383.50",240.76
39,Congo (Dem. Rep. of ),"67,827,000","2,345,410.00",28.92,"905,567.49",74.90
61,France,"65,447,374","547,030.00",119.64,"211,209.38",309.87
171,Thailand,"63,525,062","514,000.00",123.59,"198,456.43",320.10
182,United Kingdom (UK),"62,041,708","244,820.00",253.42,"94,525.49",656.35
83,Italy,"60,340,328","301,230.00",200.31,"116,305.51",518.81
120,Myanmar,"50,496,000","678,500.00",74.42,"261,970.21",192.75
159,South Africa,"49,991,300","1,219,912.00",40.98,"471,010.46",106.14
91,Korea (South),"49,773,145","98,480.00",505.41,"38,023.32","1,309.02"
160,Spain,"46,951,532","504,782.00",93.01,"194,897.34",240.90
180,Ukraine,"45,871,738","603,700.00",75.98,"233,089.78",196.80
37,Colombia,"45,569,000","1,138,910.00",40.01,"439,735.43",103.63
170,Tanzania,"45,040,000","945,087.00",47.66,"364,899.98",123.43
88,Kenya,"40,863,000","582,650.00",70.13,"224,962.33",181.64
7,Argentina,"40,518,951","2,766,890.00",14.64,"1,068,301.76",37.93
163,Sudan,"31,894,000","1,886,068.00",16.40,"728,215.12",42.40
138,Poland,"38,167,329","312,685.00",122.06,"120,728.30",316.14
3,Algeria,"35,423,000","2,381,740.00",14.87,"919,594.58",38.52
31,Canada,"34,207,000","9,976,140.00",3.43,"3,851,807.61",8.88
179,Uganda,"33,796,000","236,040.00",143.18,"91,135.52",370.83
118,Morocco,"31,892,000","446,550.00",71.42,"172,413.85",184.97
80,Iraq,"31,467,000","437,072.00",72.00,"168,754.37",186.47
123,Nepal,"29,853,000","140,800.00",212.02,"54,363.16",549.14
136,Peru,"29,461,933","1,285,220.00",22.92,"496,226.01",59.37
1,Afghanistan,"29,117,000","647,500.00",44.97,"250,001.05",116.47
188,Venezuela,"28,888,000","912,050.00",31.67,"352,144.33",82.03
106,Malaysia,"28,306,700","329,750.00",85.84,"127,317.13",222.33
185,Uzbekistan,"27,794,000","447,400",62.12,"172,742.03",160.90
149,Saudi Arabia,"26,246,000","1,960,582.00",13.39,"756,984.63",34.67
66,Ghana,"24,333,000","239,460.00",101.62,"92,455.98",263.18
190,Yemen,"24,256,000","527,970.00",45.94,"203,850.27",118.99
90,Korea (North),"23,991,000","120,540.00",199.03,"46,540.74",515.48
119,Mozambique,"23,406,000","801,590.00",29.20,"309,495.50",75.63
168,Syria,"22,505,000","185,180.00",121.53,"71,498.37",314.76
9,Australia,"22,421,417","7,686,850.00",2.92,"2,967,908.16",7.55
42,Cote d'Ivoire,"21,571,000","322,460.00",66.90,"124,502.45",173.26
141,Romania,"21,466,174","237,500.00",90.38,"91,699.23",234.09
104,Madagascar,"21,146,000","587,040.00",36.02,"226,657.32",93.30
161,Sri Lanka,"20,410,000","65,610.00",311.08,"25,332.15",805.70
30,Cameroon,"19,958,000","475,440.00",41.98,"183,568.33",108.72
5,Angola,"18,993,000","1,246,700.00",15.23,"481,353.36",39.46
35,Chile,"17,114,000","756,950.00",22.61,"292,259.91",58.56
124,Netherlands,"16,609,518","41,526.00",399.98,"16,033.27","1,035.94"
27,Burkina Faso,"16,287,000","274,200.00",59.40,"105,869.17",153.84
87,Kazakhstan,"16,197,000","2,717,300.00",5.96,"1,049,154.96",15.44
127,Niger,"15,891,000","1,267,000.00",12.54,"489,191.23",32.48
105,Malawi,"15,692,000","118,480.00",132.44,"45,745.36",343.03
108,Mali,"14,517,176","1,240,000.00",11.71,"478,766.48",30.32
69,Guatemala,"14,377,000","108,890.00",132.03,"42,042.65",341.96
52,Ecuador,"14,228,000","283,560.00",50.18,"109,483.08",129.96
29,Cambodia,"13,395,682","181,040.00",73.99,"69,899.91",191.64
191,Zambia,"13,257,000","752,614.00",17.61,"290,585.77",45.62
150,Senegal,"12,861,000","196,190.00",65.55,"75,749.35",169.78
192,Zimbabwe,"12,644,000","390,580.00",32.37,"150,803.72",83.84
67,Greece,"11,306,183","131,940.00",85.69,"50,942.30",221.94
34,Chad,"11,274,106","1,284,000.00",8.78,"495,754.97",22.74
44,Cuba,"11,204,000","110,860.00",101.06,"42,803.27",261.76
17,Belgium,"10,827,519","30,510.00",354.88,"11,779.97",919.15
139,Portugal,"10,636,888","92,391.00",115.13,"35,672.35",298.18
46,Czech Republic,"10,512,397","78,866.00",133.29,"30,450.32",345.23
175,Tunisia,"10,432,500","163,610.00",63.76,"63,170.15",165.15
70,Guinea,"10,324,000","245,857.00",41.99,"94,925.88",108.76
143,Rwanda,"10,277,000","26,338.00",390.20,"10,169.15","1,010.61"
50,Dominican Republic,"10,225,000","48,730.00",209.83,"18,814.75",543.46
73,Haiti,"10,188,000","27,750.00",367.14,"10,714.33",950.88
21,Bolivia,"10,031,000","1,098,580.00",9.13,"424,163.94",23.65
75,Hungary,"10,013,628","93,030.00",107.64,"35,919.07",278.78
151,Serbia & Montenegro,"9,856,000","102,350.00",96.30,"39,517.54",249.41
16,Belarus,"9,471,900","207,600.00",45.63,"80,154.78",118.17
166,Sweden,"9,366,092","449,964.00",20.82,"173,732.00",53.91
158,Somalia,"9,359,000","637,657.00",14.68,"246,200.64",38.01
19,Benin,"9,212,000","112,620.00",81.80,"43,482.81",211.85
11,Azerbaijan,"8,997,400","86,600.00",103.90,"33,436.43",269.09
28,Burundi,"8,519,000","27,830.00",306.11,"10,745.22",792.82
10,Austria,"8,372,930","83,858.00",99.85,"32,377.74",258.60
167,Switzerland,"7,782,900","41,290.00",188.49,"15,942.15",488.20
74,Honduras,"7,616,000","112,090.00",67.95,"43,278.17",175.98
82,Israel,"7,602,400","20,770.00",366.03,"8,019.34",948.01
26,Bulgaria,"7,576,751","110,910.00",68.31,"42,822.57",176.93
169,Tajikstan,"7,075,000","143,100.00",49.44,"55,251.20",128.05
134,Papua New Guinea,"6,888,000","462,840.00",14.88,"178,703.45",38.54
172,Togo,"6,780,000","56,785.00",119.40,"21,924.80",309.24
99,Libya,"6,546,000","1,759,540.00",3.72,"679,361.91",9.64
86,Jordan,"6,472,000","92,300.00",70.12,"35,637.21",181.61
135,Paraguay,"6,460,000","406,750.00",15.88,"157,046.99",41.13
94,Laos,"6,436,000","236,800.00",27.18,"91,428.95",70.39
54,El Salvador,"6,194,000","21,040.00",294.39,"8,123.59",762.47
153,Sierra Leone,"5,836,000","71,740.00",81.35,"27,698.96",210.69
126,Nicaragua,"5,822,000","129,494.00",44.96,"49,997.89",116.44
93,Kyrgyzstan,"5,550,000","198,500.00",27.96,"76,641.25",72.42
47,Denmark,"5,540,241","43,094.00",128.56,"16,638.68",332.97
155,Slovakia,"5,426,645","48,845.00",111.10,"18,859.15",287.75
60,Finland,"5,366,100","337,030.00",15.92,"130,127.96",41.24
56,Eritrea,"5,224,000","121,320.00",43.06,"46,841.89",111.52
177,Turkmenistan,"5,177,000","488,100.00",10.61,"188,456.39",27.47
154,Singapore,"4,987,600",693.00,"7,197.11",267.57,"18,640.45"
129,Norway,"4,896,700","324,220.00",15.10,"125,181.99",39.12
181,United Arab Emirates,"4,707,000","82,880.00",56.79,"32,000.13",147.09
41,Costa Rica,"4,640,000","51,100.00",90.80,"19,729.81",235.18
33,Central African Republic,"4,506,000","622,984.00",7.23,"240,535.37",18.73
81,Ireland,"4,459,300","70,280.00",63.45,"27,135.25",164.34
64,Georgia,"4,436,000","69,700.00",63.64,"26,911.31",164.84
43,Croatia,"4,435,056","56,542.00",78.44,"21,830.98",203.15
125,New Zealand,"4,383,600","268,680.00",16.32,"103,737.89",42.26
96,Lebanon,"4,255,000","10,400.00",409.13,"4,015.46","1,059.65"
22,Bosnia & Herzegovina,"3,760,000","51,129.00",73.54,"19,741.01",190.47
40,Congo (Rep.),"3,759,000","342,000.00",10.99,"132,046.88",28.47
115,Moldova,"3,563,800","33,843.00",105.30,"13,066.85",272.74
98,Liberia,"3,476,608","111,370.00",31.22,"43,000.18",80.85
184,Uruguay,"3,372,000","176,200.00",19.14,"68,031.17",49.57
111,Mauritania,"3,366,000","1,030,700.00",3.27,"397,955.33",8.46
101,Lithuania,"3,329,227","65,200.00",51.06,"25,173.85",132.25
133,Panama,"3,322,576","78,200.00",42.49,"30,193.18",110.04
8,Armenia,"3,238,000","29,800.00",108.66,"11,505.84",281.42
2,Albania,"3,195,000","28,748.00",111.14,"11,099.66",287.85
92,Kuwait,"3,051,000","17,820.00",171.21,"6,880.34",443.44
130,Oman,"2,905,000","212,460.00",13.67,"82,031.23",35.41
117,Mongolia,"2,768,800","1,565,000.00",1.77,"604,249.63",4.58
84,Jamaica,"2,730,000","10,991.00",248.39,"4,243.65",643.31
95,Latvia,"2,237,800","64,589.00",34.65,"24,937.94",89.73
121,Namibia,"2,212,000","825,418.00",2.68,"318,695.54",6.94
97,Lesotho,"2,084,000","30,355.00",68.65,"11,720.13",177.81
156,Slovenia,"2,062,700","20,273.00",101.75,"7,827.45",263.52
103,Macedonia,"2,048,620","25,333.00",80.87,"9,781.12",209.45
23,Botswana,"1,978,000","600,370.00",3.29,"231,804.06",8.53
63,Gambia,"1,751,000","11,300.00",154.96,"4,362.95",401.33
140,Qatar,"1,696,563","11,437.00",148.34,"4,415.85",384.20
71,Guinea-Bissau,"1,647,000","36,120.00",45.60,"13,946.00",118.10
62,Gabon,"1,501,000","267,667.00",5.61,"103,346.76",14.52
174,Trinidad & Tobago,"1,344,000","5,128.00",262.09,"1,979.93",678.81
