Rank,Player (2011 Ws),W
1,Cy Young?,511
2,Walter Johnson?,417
3,Grover Cleveland Alexander?,373
,Christy Mathewson?,373
5,Pud Galvin?,365
6,Warren Spahn?,363
7,Kid Nichols?,361
8,Greg Maddux,355
9,Roger Clemens,354
10,Tim Keefe?,342
11,Steve Carlton?,329
12,John Clarkson?,328
13,Eddie Plank?,326
14,Nolan Ryan?,324
,Don Sutton?,324
16,Phil Niekro?,318
17,Gaylord Perry?,314
18,Tom Seaver?,311
19,Charley Radbourn?,309
20,Mickey Welch?,307
21,Tom Glavine,305
22,Randy Johnson,303
23,Lefty Grove?,300
,Early Wynn?,300
25,Bobby Mathews,297
26,Tommy John,288
27,Bert Blyleven?,287
28,Robin Roberts?,286
29,Ferguson Jenkins?,284
,Tony Mullane,284
31,Jim Kaat,283
32,Red Ruffing?,273
33,Burleigh Grimes?,270
,Mike Mussina,270
35,Jim Palmer?,268
36,Jamie Moyer,267
37,Bob Feller?,266
,Eppa Rixey?,266
39,Jim McCormick,265
40,Gus Weyhing,264
41,Ted Lyons?,260
42,Red Faber?,254
,Jack Morris,254
44,Carl Hubbell?,253
,Al Spalding?,253
46,Bob Gibson?,251
47,Vic Willis?,249
48,Jack Quinn,247
49,Joe McGinnity?,246
50,Dennis Mart?nez,245
,Jack Powell,245
,Amos Rusie?,245
53,Juan Marichal?,243
54,Herb Pennock?,240
,Andy Pettitte,240
,Frank Tanana,240
57,Mordecai Brown?,239
,David Wells,239
59,Clark Griffith?,237
,Waite Hoyt?,237
61,Whitey Ford?,236
62,Tommy Bond,234
63,Charlie Buffinton,233
64,Sad Sam Jones,229
,Luis Tiant,229
,Will White,229
67,George Mullin,228
68,Jim Bunning?,224
,Catfish Hunter?,224
70,Paul Derringer,223
,Mel Harder,223
72,Hooks Dauss,222
,Jerry Koosman,222
74,Joe Niekro,221
75,Jerry Reuss,220
76,Pedro Mart?nez,219
,Kenny Rogers,219
78,Bob Caruthers,218
,Earl Whitehill,218
80,Freddie Fitzsimmons,217
,Mickey Lolich,217
82,Wilbur Cooper,216
,Charlie Hough,216
,Curt Schilling,216
85,Stan Coveleski?,215
,Jim Perry,215
87,Rick Reuschel,214
88,John Smoltz,213
89,Chief Bender?,212
90,Kevin Brown,211
,Bobo Newsom,211
,Billy Pierce,211
,Bob Welch,211
94,Jesse Haines?,210
95,Vida Blue,209
,Don Drysdale?,209
,Milt Pappas,209
98,Eddie Cicotte,208
99,Bob Lemon?,207
,Carl Mays,207
,Hal Newhouser?,207
102,Orel Hershiser,204
,Al Orth,204
104,Lew Burdette,203
,Silver King,203
,Jack Stivetts,203
107,Rube Marquard?,201
,Charley Root,201
109,Chuck Finley,200
,George Uhle,200
,Tim Wakefield (7),200
112,Jack Chesbro?,198
,Bucky Walters,198
114,Dennis Eckersley?,197
,Larry French,197
,Bob Friend,197
,Jesse Tannehill,197
,Adonis Terry,197
,Dazzy Vance?,197
120,Claude Osteen,196
,Bob Shawkey,196
122,Joe Bush,195
,Ed Walsh?,195
124,Babe Adams,194
,Doyle Alexander,194
,Tommy Bridges,194
,David Cone,194
,Dwight Gooden,194
,Larry Jackson,194
,Sam Leever,194
,Dolf Luque,194
132,Wes Ferrell,193
,Curt Simmons,193
,Rube Waddell?,193
135,Lon Warneke,192
136,Dutch Leonard,191
,Jim Whitney,191
138,Lefty Gomez?,189
,Deacon Phillippe,189
,Doc White,189
141,Roy Halladay (19),188
,Lee Meadows,188
,Rick Wise,188
144,Brickyard Kennedy,187
,Urban Shocker,187
146,Bill Donovan,186
,Jimmy Key,186
,Tom Zachary,186
149,Mike Cuellar,185
,Mike Torrez,185
151,Dave McNally,184
,Art Nehf,184
153,Red Ames,183
,Bill Hutchinson,183
155,Ed Reulbach,182
,Allie Reynolds,182
157,Tim Hudson (16),181
158,Mark Langston,179
159,Hippo Vaughn,178
160,John Candelaria,177
,Larry Corcoran,177
,Virgil Trucks,177
163,Guy Bush,176
,Frank Dwyer,176
,CC Sabathia (19),176
,Dave Stieb,176
,Frank Viola,176
168,Chick Fraser,175
