Nom du plan d'eau,Superficie nette (kilom?tres carr?s),Superficie totale (kilom?tres carr?s),Altitude (m?tres)
Nettilling Lake,5063,5542,30
Dubawnt Lake,3629,3833,236
Amadjuak Lake,3058,3115,113
Nueltin Lake,2033,2279,278
Baker Lake,1783,1887,2
Yathkyed Lake,1334,1449,140
Aberdeen Lake,1095,1100,80
Napaktulik Lake,1030,1080,381
Garry Lake,916,976,148
Contwoyto Lake,933,957,564
Ennadai Lake,669,681,311
Tulemalu Lake,662,668,279
Kamilukuak Lake,631,638,266
Kaminak Lake,554,600,53
Ferguson Lake,562,588,11
Tebesjuak Lake,501,575,146
Qamanirjuaq Lake,548,549,92
Lake Hazen,537,542,158
Princess Mary Lake,471,524,116
South Henik Lake,513,513,184
Angikuni Lake,437,510,257
Hall Lake,474,491,6
Tehek Lake,455,481,133
Mallery Lake,467,479,158
MacAlpine Lake,421,447,176
Bluenose Lake,391,401,557
