Rank,Was,Peak,Days on Chart,System,Game
1,1,1,418,Xbox 360,The Elder Scrolls V: Skyrim
2,2,2,235,PlayStation 3,Final Fantasy XIII-2
3,3,2,183,PC,The Elder Scrolls V: Skyrim
4,4,4,36,PlayStation 3,SoulCalibur V
5,5,3,107,PlayStation 3,The Elder Scrolls V: Skyrim
6,6,3,189,PC,Star Wars: The Old Republic
7,7,1,1214,PlayStation 3,Final Fantasy XIII
8,8,1,172,PlayStation 3,Dark Souls
9,9,9,11,Xbox 360,SoulCalibur V
10,11,1,622,PC,League of Legends
11,10,4,608,Wii,The Legend of Zelda: Skyward Sword
12,12,1,711,DS,Pokemon Black Version
13,14,13,15,Xbox 360,Final Fantasy XIII-2
14,15,1,2611,PC,World of Warcraft
15,13,1,246,Xbox 360,Call of Duty: Modern Warfare 3
16,16,13,18,Xbox 360,Kingdoms of Amalur: Reckoning
17,17,12,21,3DS,Resident Evil: Revelations
18,18,2,221,PlayStation 3,DC Universe Online
19,19,2,119,Xbox 360,Batman: Arkham City
20,23,7,189,Xbox 360,Mass Effect 3
21,21,4,198,PlayStation 3,Ultimate Marvel vs. Capcom 3
22,22,2,195,Xbox 360,Battlefield 3
23,20,7,108,Xbox 360,WWE '12
24,26,1,798,Xbox 360,Mass Effect 2
25,24,1,4865,PlayStation,Final Fantasy VII
26,25,3,121,PlayStation 3,Batman: Arkham City
27,28,2,723,Xbox 360,Final Fantasy XIII
28,27,2,500,PC,Minecraft
29,30,4,98,PlayStation 3,Call of Duty: Modern Warfare 3
30,29,11,25,PC,Katawa Shoujo
31,32,1,511,Xbox 360,Fallout: New Vegas
32,34,1,227,Xbox 360,Gears of War 3
33,31,2,133,Xbox 360,Dark Souls
34,35,1,2108,PlayStation 2,Final Fantasy XII
35,33,10,79,PlayStation 3,WWE '12
36,47,25,17,PlayStation 3,Kingdoms of Amalur: Reckoning
37,42,2,1301,PC,Team Fortress 2
38,36,7,82,PlayStation 3,Assassin's Creed: Revelations
39,37,1,724,PC,Starcraft II: Wings of Liberty
40,38,2,3843,PlayStation 2,Final Fantasy X
41,48,41,4,PlayStation 3,Twisted Metal
42,41,41,92,PlayStation 3,Naruto Shippuden: Ultimate Ninja Storm Generations
43,44,3,3799,PC,Diablo II: Lord of Destruction
44,43,2,2813,Game Boy Advance,Pokemon FireRed Version
45,40,4,102,Xbox 360,Saints Row: The Third
46,39,1,151,PC,Battlefield 3
47,45,18,3779,PlayStation,Final Fantasy VIII
48,46,1,460,PlayStation 3,Gran Turismo 5
49,49,7,129,PlayStation 3,Battlefield 3
50,50,18,2823,PlayStation,Final Fantasy IX
51,51,1,2537,Game Boy Advance,Pokemon Emerald Version
52,52,11,84,PlayStation 3,Tales of Graces f
53,58,2,2585,PC,MapleStory
54,56,1,844,PC,Dragon Age: Origins
55,57,1,999,DS,Pokemon HeartGold Version
56,54,1,1217,PSP,Monster Hunter Freedom Unite
57,55,4,1236,PlayStation 2,Shin Megami Tensei: Persona 4
58,53,23,44,PlayStation 3,Street Fighter X Tekken
59,59,7,87,3DS,Mario Kart 7
60,60,2,222,Wii,Xenoblade Chronicles
61,64,5,4392,Nintendo 64,The Legend of Zelda: Ocarina of Time
62,61,1,1313,DS,Pokemon Platinum Version
63,62,1,605,DS,Dragon Quest IX: Sentinels of the Starry Skies
64,63,2,721,Wii,Monster Hunter Tri
65,65,1,1224,Xbox 360,Fallout 3
66,70,2,512,PSP,Dissidia 012: Duodecim Final Fantasy
67,68,13,81,PlayStation 3,Saints Row: The Third
68,66,19,345,DS,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus
69,83,16,125,3DS,Kingdom Hearts 3D: Dream Drop Distance
70,67,2,346,DS,Pokemon White Version
71,73,1,2652,PlayStation 2,Grand Theft Auto: San Andreas
72,85,3,153,PlayStation 3,Uncharted 3: Drake's Deception
73,77,2,468,PC,Mass Effect 2
74,72,16,66,Xbox 360,NBA 2K12
75,76,1,265,PC,The Witcher 2: Assassins of Kings
76,71,5,120,Wii U,Super Smash Bros. Wii U
77,78,2,479,PC,Fallout: New Vegas
78,75,1,672,Xbox 360,Red Dead Redemption
79,79,32,71,PlayStation 3,NBA 2K12
80,74,3,620,PSP,Shin Megami Tensei: Persona 3 Portable
81,89,4,307,PSP,Metal Gear Solid: Peace Walker
82,84,1,405,3DS,The Legend of Zelda: Ocarina of Time 3D
83,82,10,80,Xbox 360,Assassin's Creed: Revelations
84,94,7,999,PC,Plants vs. Zombies
85,88,11,131,PlayStation 3,White Knight Chronicles II
86,87,1,1182,PSP,Kingdom Hearts: Birth by Sleep
87,81,3,177,PlayStation 3,Disgaea 4: A Promise Unforgotten
88,93,1,556,Xbox 360,Call of Duty: Black Ops
89,86,1,841,Xbox 360,Dragon Age: Origins
90,80,7,1144,PlayStation 2,Shin Megami Tensei: Persona 3 FES
91,90,11,452,PSP,Monster Hunter Portable 3rd
92,92,1,960,PC,The Sims 3
93,91,5,306,PSP,Tactics Ogre: Let Us Cling Together
94,95,1,1882,DS,Pokemon Diamond Version
95,99,72,6,PC,Kingdoms of Amalur: Reckoning
96,96,1,812,Xbox 360,Mass Effect
97,97,1,1123,Xbox 360,Tales of Vesperia
98,Ret,3,595,DS,Pokemon SoulSilver Version
99,Ret,12,229,PSP,Final Fantasy Type-0
100,Ret,2,787,PC,Grand Theft Auto: San Andreas
