Saint,Anglican,Ethiopian,Orthodox,Catholic,Non-historical
Abraham the Syrian,--,Yes,--,--,--
Adalbert of Magdeburg,--,--,--,Yes,--
Adalbert of Prague,--,--,--,Yes,--
Adelaide of Italy,--,--,--,Yes,--
Pope Adeodatus I,--,--,--,Yes,--
Adrian of Nicomedia,--,--,Yes,Yes,--
Pope Adrian III,--,--,--,Yes,--
Pope Agapitus I,--,--,--,Yes,--
Pope Agatho,--,--,--,Yes,--
Agnes,--,--,--,Yes,--
Aidan of Lindisfarne,Yes,--,--,Yes,--
Alban,Yes,--,Yes,Yes,--
Pope Alexander I,--,--,--,Yes,--
Alphege,--,--,--,Yes,--
Ambrose of Milan,Yes,--,Yes,Yes,--
Pope Anacletus,--,--,--,Yes,--
Pope Anastasius I,--,--,--,Yes,--
Andrew,Yes,Yes,Yes,Yes,--
Pope Anicetus,--,--,--,Yes,--
Anselm,Yes,--,--,Yes,--
Pope Antheros,--,--,--,Yes,--
Anthony the Great,--,Yes,Yes,Yes,--
Anthony of Padua,Yes,--,--,Yes,--
Athanasius of Alexandria,Yes,Yes,Yes,Yes,--
Augustine of Hippo,Yes,--,--,Yes,--
Augustine of Canterbury,Yes,--,--,Yes,--
Barbara[?],--,Yes,Yes,--,Possible
Barnabas,Yes,Yes,Yes,Yes,--
Bartholomew,Yes,--,--,Yes,--
Basil the Great,Yes,--,Yes,--,--
Benedict,--,--,--,Yes,--
Benedict of Aniane[?],--,--,--,Yes,--
Pope Benedict II,--,--,--,Yes,--
Bernard of Clairvaux,Yes,--,--,Yes,--
Birgitta,--,--,--,Yes,--
Bride,--,--,--,Yes,--
Bride of the Isles,--,--,--,Yes,--
Bridget,--,--,--,Yes,--
BRIGID of Ireland,--,--,--,Yes,--
Brigid of Kildare,--,--,--,Yes,--
Brigit,--,--,--,Yes,--
Boniface,Yes,--,Yes,Yes,--
Pope Boniface I,--,--,--,Yes,--
Pope Boniface IV,--,--,--,Yes,--
Bruno of Querfurt,--,--,--,Yes,--
Pope Caius,--,--,--,Yes,--
Pope Callistus I,--,--,--,Yes,--
Casimir,--,--,--,Yes,--
Catherine of Alexandria,--,--,--,Yes,--
Catherine of Siena,Yes,--,--,Yes,--
Pope Celestine I,--,--,--,Yes,--
Pope Celestine V,--,--,--,Yes,--
Charlie,--,--,--,Yes,--
Christopher,--,--,--,Yes,--
Pope Clement I,--,--,--,Yes,--
Columba,Yes,--,--,Yes,--
Columbanus,--,--,--,Yes,--
Pope Cornelius,--,--,--,Yes,--
Cunigunde of Luxemburg[?],--,--,--,Yes,--
