Scientific Name,Common Names (abridged),Family,Habit
Abutilon indicum,"English: abutilon, Indian abutilon, Indian mallow",Malvaceae,shrub
Abutilon theophrasti,"English: abutilon-hemp, butterprint, buttonweed, China-jute, Indian-mallow, Tientsin-jute, velvetleaf, velvetweed",Malvaceae,herb
Acacia aulacocarpa,"English: brown salwood, brush ironbark wattle, hickory wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree
Acacia auriculiformis,"English: Papuan wattle, auri, earleaf acacia, northern black wattle, ear-pod wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree
Acacia boliviana,English: Bolivian wattle,Fabaceae,shrub
Acacia confusa,"English: Formosa koa, Formosa acacia",Fabaceae,tree
Acacia crassicarpa,"English: northern wattle, Papua New Guinea red wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree
Acacia farnesiana,"English: Ellington curse, klu, sweet acacia; Other: titima (Cook Islands); kolu (Hawai'i)",Fabaceae,shrub
Acacia glauca,English: redwood,Fabaceae,tree
Acacia longifolia,"English: Sydney golden wattle, golden wattle, long-leaved wattle, long-leaved acacia, sallow wattle, coast wattle, golden rods",Fabaceae,tree
Acacia mangium,"English: mangium, brown salwood, black wattle, hickory wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree
Acacia mearnsii,English: black wattle; Other: ?kasia (Cook Islands),Fabaceae,tree
Acacia melanoxylon,"English: Australian blackwood, blackwood acacia",Fabaceae,tree
Acacia nilotica,"English: prickly acacia, black thorn, Egyptian thorn, Nile acacia, algaroba, babul, gum arabic tree",Fabaceae,tree
Acacia sinuata,"English: chikakai, piquant sappan, sappan, soap pod",Fabaceae,shrub
Acalypha alopecuroides,English: foxtail copperleaf,Euphorbiaceae,herb
Acanthocereus tetragonus,"English: barbed-wire cactus, sword-pear, triangle cactus",Cactaceae,succulent
Acmella uliginosa,,Asteraceae,herb
Adiantum raddianum,English: delta maidenhair fern,Pteridaceae,fern
Aeschynomene americana,,Fabaceae,herb
Aeschynomene indica,"English: budda pea, curly-indigo, hard sola, Indian joint-vetch, kat sola, northern joint-vetch, sensitive jointed vetch, sensitive vetch",Fabaceae,herb
Agave americana,"English: American aloe, century plant",Agavaceae,succulent
Agave sisalana,"English: sisal, sisal hemp; Other: malina (Hawai'i)",Agavaceae,succulent
Ageratina riparia,"English: spreading mistflower, creeping croftonweed, river eupatorium; Other: hamakua pamakani (Hawai?i)",Asteraceae,herb
Ailanthus altissima,"English: tree of heaven, varnishtree",Simaroubaceae,tree
Ajuga reptans,,Lamiaceae,herb
Albizia chinensis,"English: Chinese albizia, silktree; Other: ?arapitia (Cook Islands); tamaligi uliuli, tamaligi ena?ena (Samoa)",Fabaceae,tree
Albizia lebbeck,"English: siris-tree, rain tree, East Indian walnut, kokko, woman's-tongue tree, soros-tree, raom tree; Other: ?arapitia (Cook Islands (Miti?aro)); 'ohai (Hawai?i); tamaligi pa?epa?e (Samoa); kasia (Tonga)",Fabaceae,tree
Alstonia macrophylla,English: devil-tree,Apocynaceae,tree
Alternanthera caracasana,English: mat chaff flower,Amaranthaceae,herb
Alternanthera philoxeroides,English: alligator weed,Amaranthaceae,herb
Alternanthera pungens,English: khaki weed,Amaranthaceae,herb
Alternanthera sessilis,"English: joyweed, sessile joyweed; Other: mata kura (Cook Islands (?Atiu)); fisi?i?anoa (Tonga)",Amaranthaceae,herb
Amaranthus cruentus,"English: bush greens, purple amaranth, red amaranth, red shank",Amaranthaceae,herb
Amaranthus dubius,"English: amaranth, spleen amaranth",Amaranthaceae,herb
Amaranthus hybridus,"English: green amaranth, green pigweed, hybrid amaranth, slim amaranth, smooth amaranth, smooth pigweed",Amaranthaceae,herb
Amaranthus interruptus,English: amaranth,Amaranthaceae,herb
Amaranthus spinosus,"English: edlebur, needle burr, spiny amaranth, thorny pigweed; Other: pakai kuku (Hawai?i)",Amaranthaceae,herb
Ammannia auriculata,,Lythraceae,herb
Anagallis arvensis,"English: bird's-eye, poor-man's weatherglass, red chickweed, scarlet pimpernel, shepherd's-weatherglass",Primulaceae,herb
Andropogon gayanus,"English: gamba grass, tambuki grass",Poaceae,grass
Andropogon glomeratus,"English: bush beardgrass, bushy bluestem",Poaceae,grass
Andropogon virginicus,"English: broomsedge, yellow bluestem, whisky grass",Poaceae,grass
Araujia sericifera,"English: moth plant, moth catcher, white bladder flower",Ascelepiadaceae,vine
Archontophoenix alexandrae,"English: Alexandra palm, king palm",Arecaceae,tree (palm)
Ardisia crenata,"English: hen's eyes, Hilo holly, coral berry, Australian holly, scratchthroat",Myrsinaceae,shrub
Ardisia elliptica,"English: shoebutton ardisia; Other: venevene tinit? (Cook Islands); ati popa?a, atiu (French Polynesia); togo vao (Samoa)",Myrsinaceae,shrub
Argyreia nervosa,"English: elephant creeper, Hawaiian baby woodrose , silver morning glory, woolly morning glory",Convolvulaceae,vine
Aristolochia odoratissima,"English: duck, swan",Aristolochiaceae,herb
Arthrostemma ciliatum,"English: arthrostemma, everblooming eavender",Melastomataceae,herb
Arundinaria graminea,,Poaceae,grass
Arundo donax,"English: giant reed, Spanish reed, wild cane; Other: fiso palagi (Samoa); kaho folalahi (Tonga)",Poaceae,grass
