Country,Population,Members,Pop/Mem Ratio,
Afghanistan,"32,738",3,"10,913",
"Iran, Islamic Republic of","72,212",29,"2,490",
Morocco,"31,177",14,"2,227",
Turkey,"74,766",80,935,
Algeria,"34,694",40,867,
Mauritania,"3,204",7,458,
Tunisia,"10,337",28,369,
Iraq,"29,492",173,170,
Egypt,"74,946",753,100,
Libyan Arab Jamahiriya,"6,283",72,87,
Oman,"2,719",38,72,
Niger,"14,731",227,65,
Turkmenistan,"5,180",91,57,
Jordan,"5,849",188,31,
"Korea, Democratic People's Republic of","23,479",866,27,
Senegal,"12,688",485,26,
Uzbekistan,"27,199",1220,22,
Greece,"11,242",509,22,
Bahrain,780,39,20,
Ireland,"4,475",253,18,
Kuwait,"2,669",167,16,
Malta,412,27,15,
Cyprus,"1,060",72,15,
United Arab Emirates,"4,486",309,15,
Pakistan,"172,800",12433,14,
Qatar,928,71,13,
Azerbaijan,"8,679",701,12,
Georgia,"4,639",380,12,
Tajikistan,"7,285",631,12,
Albania,"3,241",322,10,
Lebanon,"3,981",389,10,
Eritrea,"5,006",521,10,
Viet Nam,"86,185",9471,9,
Guinea,"10,302",1287,8,
Andorra,85,10,9,
Israel,"7,482",883,8,
Japan,"127,720",15299,8,
Mali,"12,716",1452,9,
Italy,"59,865",8648,7,
Luxembourg,488,77,6,
Congo,"3,847",636,6,
Poland,"38,110",5748,7,
Thailand,"66,148",12551,5,
Bosnia and Herzegovina,"3,843",695,6,
Bangladesh,"147,285",29193,5,
Belgium,"10,695",1900,6,
Sri Lanka,"20,296",3681,6,
Kazakhstan,"15,651",3278,5,
Kyrgyzstan,"5,242",1096,5,
Burkina Faso,"15,213",3480,4,
Gibraltar,29,7,4,
France,"62,046",12649,5,
Taiwan (China),"23,002",5548,4,
Timor-Leste,"1,081",306,4,
Slovenia,"2,034",558,4,
Netherlands,"16,433",4843,3,
"Macedonia, The Former Yugoslav Republic of","2,049",587,3,
Sweden,"9,214",2789,3,
Spain,"46,501",14608,3,
Armenia,"3,084",900,3,
China,"1,324,708",370317,4,
Lao People's Democratic Republic,"5,850",1865,3,
Lithuania,"3,357",876,4,
Nepal,"26,997",6846,4,
Macao Special Administrative Region (China),551,210,3,
Montenegro,627,256,2,
Cambodia,"14,656",5935,2,
Aland Islands,27,10,3,
Hungary,"10,034",4694,2,
Benin,"9,309",4433,2,
Austria,"8,352",3871,2,
Germany,"82,170",35651,2,
Denmark,"5,490",2482,2,
United Kingdom of Great Britain and Northern Ireland,"61,291",28791,2,
Russian Federation,"141,875",52067,3,
Slovakia,"5,405",2347,2,
Chad,"10,111",3393,3,
Sudan,"39,445",15354,3,
Wallis and Futuna Islands,16,6,3,
Singapore,"4,790",2542,2,
Serbia,"9,545",6652,1,
Norway,"4,762",4653,1,
Portugal,"10,621",9332,1,
Gambia,"1,559",1203,1,
Czech Republic,"10,428",7514,1,
Finland,"5,285",5064,1,
Bulgaria,"7,621",7598,1,
Belarus,"9,678",5115,2,
Switzerland,"7,633",4311,2,
Cote d'Ivoire,"20,677",11574,2,
Indonesia,"239,945",197621,1,
Hong Kong Special Administrative Region (China),"6,990",4401,2,
Croatia,"4,433",2970,1,
Myanmar,"49,221",26797,2,
Mongolia,"2,655",1399,2,
Madagascar,"18,912",108066,0,
Marshall Islands,53,683,0,
"Moldova, Republic of","4,136",11079,0,
Mauritius,"1,268",4273,0,
Malawi,"13,630",305090,0,
Mexico,"107,677",616521,0,
Malaysia,"27,711",50569,1,
Mozambique,"20,387",236740,0,
Namibia,"2,089",17104,0,
New Caledonia,247,672,0,
Northern Mariana Islands,87,231,0,
Martinique,405,14724,0,
Montserrat,10,1165,0,
Norfolk Island,2,43,0,
Nigeria,"148,071",266705,1,
Nicaragua,"5,669",102307,0,
Nauru,10,20,1,
Niue,1,14,0,
New Zealand,"4,272",10569,0,
Panama,"3,391",86944,0,
Peru,"27,903",487935,0,
French Polynesia,265,4905,0,
Papua New Guinea,"6,458",240296,0,
Philippines,"90,457",620896,0,
Haiti,"9,104",328029,0,
Honduras,"7,322",219697,0,
India,"1,149,285",1422326,1,
Iceland,319,561,1,
Jamaica,"2,692",239998,0,
Kenya,"37,954",620520,0,
Kiribati,98,2056,0,
Saint Kitts and Nevis,48,2087,0,
Cayman Islands,54,3846,0,
"Korea, Republic of","48,607",209017,0,
Saint Lucia,171,15064,0,
Liberia,"3,942",24530,0,
Lesotho,"1,801",6428,0,
Latvia,"2,266",3950,1,
Cook Islands,11,769,0,
Chile,"16,770",125420,0,
Cameroon,"18,468",107946,0,
Colombia,"44,447",263293,0,
Costa Rica,"4,519",60338,0,
Cuba,"11,233",29096,0,
Cape Verde,503,6208,0,
Belize,318,32091,0,
Canada,"33,304",59354,1,
"Congo, Democratic Republic of the","66,515",525849,0,
Central African Republic,"4,435",9521,0,
Bermuda,64,3707,0,
"Bolivia, Plurinational State of","10,028",209130,0,
Brazil,"195,138",1227005,0,
Bahamas,337,17576,0,
Botswana,"1,842",28601,0,
Australia,"21,348",54130,0,
Aruba,105,676,0,
Barbados,280,17759,0,
Netherlands Antilles,199,8489,0,
Angola,"16,752",340126,0,
Argentina,"39,746",102320,0,
American Samoa,70,1797,0,
Antigua and Barbuda,86,8159,0,
Anguilla,15,767,0,
Fiji,864,28241,0,
Micronesia (Federated States of),108,1159,0,
Faeroe Islands,48,61,1,
Ethiopia,"79,087",167961,0,
Burundi,"8,856",113929,0,
Dominica,73,6600,0,
Dominican Republic,"9,890",252703,0,
Guadeloupe,456,12034,0,
Equatorial Guinea,617,2268,0,
Guatemala,"13,677",206875,0,
Guam,177,1232,0,
Guinea-Bissau,"1,746",1967,1,
Guyana,773,53020,0,
Grenada,106,12663,0,
French Guiana,207,2308,0,
Ghana,"23,947",346682,0,
Gabon,"1,350",3258,0,
Ecuador,"13,801",76437,0,
Estonia,"1,340",1683,1,
Palau,20,876,0,
Paraguay,"6,230",15318,0,
Reunion,812,1393,1,
Romania,"21,498",67393,0,
Puerto Rico,"3,958",36620,0,
Saint Helena,6,80,0,
Rwanda,"9,609",445556,0,
Solomon Islands,507,39252,0,
Seychelles,87,852,0,
Tokelau,1,4,0,
Tonga,102,2288,0,
Togo,"6,761",10474,1,
Sierra Leone,"5,450",17433,0,
Suriname,500,3724,0,
Sao Tome and Principe,158,2261,0,
El Salvador,"7,218",188372,0,
Swaziland,"1,129",4894,0,
Turks and Caicos Islands,37,1804,0,
Samoa,188,5783,0,
South Africa,"48,315",86557,1,
Zambia,"12,197",612644,0,
Zimbabwe,"13,481",570754,0,
Vanuatu,240,16499,0,
Trinidad and Tobago,"1,338",61987,0,
Tuvalu,10,139,0,
"Tanzania, United Republic of","40,213",406850,0,
Ukraine,"46,237",61035,1,
Uganda,"29,194",193210,0,
United States of America,"304,487",1021884,0,
Uruguay,"3,334",6955,0,
Saint Vincent and the Grenadines,110,13512,0,
"Venezuela, Bolivarian Republic of","27,935",197257,0,
British Virgin Islands,23,1432,0,
United States Virgin Islands,108,7958,0,
