table_id,target_column,annotation_id
GitTables_41549,4,http://dbpedia.org/ontology/rank
GitTables_120703,1,http://dbpedia.org/ontology/gender
GitTables_64793,2,http://dbpedia.org/ontology/description
GitTables_73560,1,http://dbpedia.org/ontology/name
GitTables_116365,0,http://dbpedia.org/ontology/type
GitTables_190325,1,http://dbpedia.org/ontology/time
GitTables_55082,0,http://dbpedia.org/ontology/id
GitTables_196360,0,http://dbpedia.org/ontology/id
GitTables_2995,7,http://dbpedia.org/ontology/date
GitTables_7634,0,http://dbpedia.org/ontology/id
GitTables_99035,6,http://dbpedia.org/ontology/category
GitTables_5038,1,http://dbpedia.org/ontology/name
GitTables_43581,6,http://dbpedia.org/ontology/countryCode
GitTables_6339,61,http://dbpedia.org/ontology/title
GitTables_48874,1,http://dbpedia.org/ontology/name
GitTables_74332,0,http://dbpedia.org/ontology/id
GitTables_86567,8,http://dbpedia.org/ontology/note
GitTables_47552,2,http://dbpedia.org/ontology/field
GitTables_74463,0,http://dbpedia.org/ontology/id
GitTables_114634,4,http://dbpedia.org/ontology/location
GitTables_7211,22,http://dbpedia.org/ontology/weight
GitTables_146615,15,http://dbpedia.org/ontology/country
GitTables_200864,4,http://dbpedia.org/ontology/state
GitTables_71894,1,http://dbpedia.org/ontology/year
GitTables_27919,7,http://dbpedia.org/ontology/type
GitTables_79777,0,http://dbpedia.org/ontology/id
GitTables_111127,0,http://dbpedia.org/ontology/id
GitTables_86990,0,http://dbpedia.org/ontology/year
GitTables_35215,0,http://dbpedia.org/ontology/id
GitTables_70344,7,http://dbpedia.org/ontology/id
GitTables_146038,0,http://dbpedia.org/ontology/county
GitTables_52735,1,http://dbpedia.org/ontology/country
GitTables_36996,20,http://dbpedia.org/ontology/birthDate
GitTables_6928,0,http://dbpedia.org/ontology/id
GitTables_124927,4,http://dbpedia.org/ontology/family
GitTables_81398,0,http://dbpedia.org/ontology/name
GitTables_39198,1,http://dbpedia.org/ontology/name
GitTables_26988,3,http://dbpedia.org/ontology/year
GitTables_24662,1,http://dbpedia.org/ontology/name
GitTables_169565,7,http://dbpedia.org/ontology/name
GitTables_108424,1,http://dbpedia.org/ontology/name
GitTables_15768,9,http://dbpedia.org/ontology/source
GitTables_201315,2,http://dbpedia.org/ontology/city
GitTables_55159,0,http://dbpedia.org/ontology/id
GitTables_172707,2,http://dbpedia.org/ontology/name
GitTables_51735,1,http://dbpedia.org/ontology/name
GitTables_23204,4,http://dbpedia.org/ontology/comment
GitTables_7755,0,http://dbpedia.org/ontology/id
GitTables_34189,7,http://dbpedia.org/ontology/family
GitTables_25029,0,http://dbpedia.org/ontology/part
GitTables_22282,3,http://dbpedia.org/ontology/race
GitTables_174342,6,http://dbpedia.org/ontology/gender
GitTables_146667,4,http://dbpedia.org/ontology/date
GitTables_23698,3,http://dbpedia.org/ontology/year
GitTables_104,10,http://dbpedia.org/ontology/date
GitTables_16487,3,http://dbpedia.org/ontology/type
GitTables_55467,1,http://dbpedia.org/ontology/description
GitTables_35222,6,http://dbpedia.org/ontology/id
GitTables_19445,3,http://dbpedia.org/ontology/code
GitTables_184648,14,http://dbpedia.org/ontology/title
GitTables_55244,0,http://dbpedia.org/ontology/id
GitTables_13477,2,http://dbpedia.org/ontology/model
GitTables_7557,1,http://dbpedia.org/ontology/id
GitTables_15828,5,http://dbpedia.org/ontology/frequency
GitTables_170928,6,http://dbpedia.org/ontology/id
GitTables_65450,5,http://dbpedia.org/ontology/type
GitTables_106563,1,http://dbpedia.org/ontology/type
GitTables_9757,8,http://dbpedia.org/ontology/owner
GitTables_28917,3,http://dbpedia.org/ontology/code
GitTables_32276,5,http://dbpedia.org/ontology/population
GitTables_131010,2,http://dbpedia.org/ontology/rank
GitTables_139489,0,http://dbpedia.org/ontology/id
GitTables_199291,1,http://dbpedia.org/ontology/class
GitTables_127288,11,http://dbpedia.org/ontology/source
GitTables_19668,0,http://dbpedia.org/ontology/id
GitTables_110352,0,http://dbpedia.org/ontology/county
GitTables_95994,21,http://dbpedia.org/ontology/position
GitTables_125071,20,http://dbpedia.org/ontology/type
GitTables_76745,2,http://dbpedia.org/ontology/description
GitTables_156452,0,http://dbpedia.org/ontology/county
GitTables_162572,1,http://dbpedia.org/ontology/comment
GitTables_200457,4,http://dbpedia.org/ontology/status
GitTables_104027,2,http://dbpedia.org/ontology/id
GitTables_127374,4,http://dbpedia.org/ontology/year
GitTables_40183,0,http://dbpedia.org/ontology/id
GitTables_172560,8,http://dbpedia.org/ontology/note
GitTables_109223,1,http://dbpedia.org/ontology/title
GitTables_29223,0,http://dbpedia.org/ontology/id
GitTables_3139,1,http://dbpedia.org/ontology/name
GitTables_159257,5,http://dbpedia.org/ontology/height
GitTables_114056,0,http://dbpedia.org/ontology/name
GitTables_153121,4,http://dbpedia.org/ontology/min
GitTables_33132,4,http://dbpedia.org/ontology/notes
GitTables_62490,3,http://dbpedia.org/ontology/domain
GitTables_68851,1,http://dbpedia.org/ontology/description
GitTables_46667,6,http://dbpedia.org/ontology/city
GitTables_101379,0,http://dbpedia.org/ontology/id
GitTables_32019,5,http://dbpedia.org/ontology/treatment
GitTables_29178,0,http://dbpedia.org/ontology/year
GitTables_1504,2,http://dbpedia.org/ontology/result
GitTables_12891,9,http://dbpedia.org/ontology/time
GitTables_32113,0,http://dbpedia.org/ontology/id
GitTables_13426,6,http://dbpedia.org/ontology/startDate
GitTables_99676,1,http://dbpedia.org/ontology/name
GitTables_190356,0,http://dbpedia.org/ontology/id
GitTables_180891,5,http://dbpedia.org/ontology/id
GitTables_797,3,http://dbpedia.org/ontology/parent
GitTables_194818,4,http://dbpedia.org/ontology/notes
GitTables_203803,9,http://dbpedia.org/ontology/source
GitTables_3590,19,http://dbpedia.org/ontology/location
GitTables_148265,2,http://dbpedia.org/ontology/title
GitTables_25951,46,http://dbpedia.org/ontology/start
GitTables_172670,1,http://dbpedia.org/ontology/filename
GitTables_122600,0,http://dbpedia.org/ontology/region
GitTables_4421,4,http://dbpedia.org/ontology/description
GitTables_163031,6,http://dbpedia.org/ontology/district
GitTables_121327,2,http://dbpedia.org/ontology/height
GitTables_142104,4,http://dbpedia.org/ontology/type
GitTables_46963,0,http://dbpedia.org/ontology/id
GitTables_71280,4,http://dbpedia.org/ontology/cost
GitTables_46963,43,http://dbpedia.org/ontology/year
GitTables_44942,7,http://dbpedia.org/ontology/description
GitTables_2005,3,http://dbpedia.org/ontology/result
GitTables_45273,1,http://dbpedia.org/ontology/time
GitTables_72355,3,http://dbpedia.org/ontology/address
GitTables_23031,2,http://dbpedia.org/ontology/description
GitTables_36346,15,http://dbpedia.org/ontology/status
GitTables_83394,1,http://dbpedia.org/ontology/value
GitTables_71100,67,http://dbpedia.org/ontology/id
GitTables_197106,0,http://dbpedia.org/ontology/id
GitTables_36087,7,http://dbpedia.org/ontology/description
GitTables_40193,10,http://dbpedia.org/ontology/id
GitTables_8410,1,http://dbpedia.org/ontology/value
GitTables_58858,0,http://dbpedia.org/ontology/id
GitTables_204434,12,http://dbpedia.org/ontology/source
